,êµ? œ ê¸?
2020-08-28,"6,728.00"
2020-08-27,"6,602.50"
2020-08-26,"6,603.50"
2020-08-25,"6,544.50"
2020-08-24,"6,579.50"
2020-08-21,"6,564.50"
2020-08-20,"6,594.50"
2020-08-19,"6,667.00"
2020-08-18,"6,492.50"
2020-08-17,"6,439.50"
2020-08-14,"6,342.50"
2020-08-13,"6,380.00"
2020-08-12,"6,379.00"
2020-08-11,"6,356.50"
2020-08-10,"6,363.00"
2020-08-07,"6,437.00"
2020-08-06,"6,453.50"
2020-08-05,"6,525.50"
2020-08-04,"6,440.00"
2020-08-03,"6,441.00"
2020-07-31,"6,446.50"
2020-07-30,"6,433.50"
2020-07-29,"6,475.00"
2020-07-28,"6,399.50"
2020-07-27,"6,425.50"
2020-07-24,"6,412.50"
2020-07-23,"6,533.50"
2020-07-22,"6,527.00"
2020-07-21,"6,513.00"
2020-07-20,"6,416.50"
2020-07-17,"6,454.50"
2020-07-16,"6,385.00"
2020-07-15,"6,507.00"
2020-07-14,"6,489.50"
2020-07-13,"6,545.00"
2020-07-10,"6,322.50"
2020-07-09,"6,339.50"
2020-07-08,"6,194.00"
2020-07-07,"6,086.00"
2020-07-06,"6,112.00"
2020-07-03,"6,022.50"
2020-07-02,"6,080.00"
2020-07-01,"6,016.50"
2020-06-30,"6,038.00"
2020-06-29,"5,957.00"
2020-06-26,"5,985.50"
2020-06-25,"5,880.50"
2020-06-24,"5,871.00"
2020-06-23,"5,895.00"
2020-06-22,"5,825.00"
2020-06-19,"5,835.50"
2020-06-18,"5,799.00"
2020-06-17,"5,734.00"
2020-06-16,"5,759.50"
2020-06-15,"5,646.00"
2020-06-12,"5,785.50"
2020-06-11,"5,801.50"
2020-06-10,"5,801.00"
2020-06-09,"5,680.50"
2020-06-08,"5,659.00"
2020-06-05,"5,588.00"
2020-06-04,"5,452.50"
2020-06-03,"5,499.00"
2020-06-02,"5,463.00"
2020-06-01,"5,376.50"
2020-05-29,"5,332.50"
2020-05-28,"5,278.50"
2020-05-27,"5,308.50"
2020-05-26,"5,341.50"
2020-05-22,"5,242.50"
2020-05-21,"5,387.00"
2020-05-20,"5,333.00"
2020-05-19,"5,314.00"
2020-05-18,"5,249.50"
2020-05-15,"5,165.00"
2020-05-14,"5,155.50"
2020-05-13,"5,212.50"
2020-05-12,"5,234.00"
2020-05-11,"5,231.00"
2020-05-07,"5,227.50"
2020-05-06,"5,199.50"
2020-05-05,"5,111.50"
2020-05-04,"5,058.00"
2020-05-01,"5,061.00"
2020-04-30,"5,231.00"
2020-04-29,"5,184.00"
2020-04-28,"5,169.50"
2020-04-27,"5,165.50"
2020-04-24,"5,118.00"
2020-04-23,"5,120.50"
2020-04-22,"5,034.00"
2020-04-21,"4,994.50"
2020-04-20,"5,169.50"
2020-04-17,"5,175.50"
2020-04-16,"5,098.50"
2020-04-15,"5,054.50"
