날짜,종가,전일비,시가,고가,저가,거래량
2020.09.02,54600.0,400.0,54600.0,55100.0,54400.0,7010935.0
2020.09.01,54200.0,200.0,54100.0,54800.0,54100.0,19363117.0
2020.08.31,54000.0,1400.0,56000.0,56100.0,54000.0,32671367.0
2020.08.28,55400.0,200.0,56100.0,56300.0,55400.0,14619888.0
2020.08.27,55600.0,800.0,56300.0,56300.0,55600.0,16196568.0
2020.08.26,56400.0,0.0,56400.0,56500.0,55700.0,17651593.0
2020.08.25,56400.0,300.0,56400.0,56800.0,56100.0,14021705.0
2020.08.24,56100.0,200.0,55800.0,56600.0,55400.0,15055896.0
2020.08.21,55900.0,500.0,56200.0,56900.0,55800.0,21142288.0
2020.08.20,55400.0,2400.0,57600.0,57600.0,55300.0,30386029.0
2020.08.19,57800.0,600.0,59000.0,59200.0,57800.0,16930719.0
2020.08.18,58400.0,400.0,58900.0,59900.0,58000.0,25307825.0
2020.08.14,58000.0,700.0,58000.0,58400.0,57700.0,15672548.0
2020.08.13,58700.0,300.0,59400.0,59600.0,58000.0,22089460.0
2020.08.12,59000.0,800.0,58200.0,59000.0,57700.0,18573934.0
2020.08.11,58200.0,400.0,58000.0,59500.0,57800.0,24907912.0
2020.08.10,57800.0,300.0,57600.0,58300.0,57500.0,17774291.0
2020.08.07,57500.0,500.0,57900.0,58400.0,57100.0,18751717.0
2020.08.06,58000.0,1100.0,57100.0,58400.0,57100.0,21625874.0
2020.08.05,56900.0,400.0,57300.0,57500.0,56300.0,17739706.0
2020.08.04,57300.0,500.0,57200.0,58100.0,57000.0,19419694.0
2020.08.03,56800.0,1100.0,57800.0,57900.0,56700.0,21158940.0
2020.07.31,57900.0,1100.0,59500.0,59600.0,57700.0,21943345.0
2020.07.30,59000.0,0.0,59700.0,60100.0,59000.0,19285354.0
2020.07.29,59000.0,400.0,60300.0,60400.0,58600.0,36476611.0
2020.07.28,58600.0,3000.0,57000.0,58800.0,56400.0,48431566.0
2020.07.27,55600.0,1400.0,54300.0,55700.0,54300.0,21054421.0
2020.07.24,54200.0,100.0,54000.0,54400.0,53700.0,10994535.0
2020.07.23,54100.0,600.0,54700.0,54700.0,53800.0,16214932.0
2020.07.22,54700.0,600.0,55300.0,55500.0,54700.0,12885057.0
2020.07.21,55300.0,1100.0,55200.0,55400.0,54800.0,18297260.0
2020.07.20,54200.0,200.0,54800.0,54800.0,54000.0,10507530.0
2020.07.17,54400.0,600.0,54200.0,54700.0,54100.0,10096174.0
2020.07.16,53800.0,900.0,54800.0,54800.0,53800.0,16779127.0
2020.07.15,54700.0,900.0,54400.0,55000.0,54300.0,24051450.0
2020.07.14,53800.0,400.0,53700.0,53800.0,53200.0,14269484.0
2020.07.13,53400.0,700.0,53300.0,53800.0,53100.0,12240188.0
2020.07.10,52700.0,100.0,53100.0,53200.0,52300.0,13714746.0
2020.07.09,52800.0,200.0,53200.0,53600.0,52800.0,17054850.0
2020.07.08,53000.0,400.0,53600.0,53900.0,52900.0,19664652.0
2020.07.07,53400.0,1600.0,55800.0,55900.0,53400.0,30760032.0
2020.07.06,55000.0,1400.0,54000.0,55000.0,53800.0,19856623.0
2020.07.03,53600.0,700.0,53000.0,53600.0,52700.0,11887868.0
2020.07.02,52900.0,300.0,52100.0,52900.0,52100.0,14142583.0
2020.07.01,52600.0,200.0,53400.0,53600.0,52400.0,16706143.0
2020.06.30,52800.0,400.0,53900.0,53900.0,52800.0,21157172.0
2020.06.29,52400.0,900.0,52500.0,53200.0,52000.0,17776925.0
2020.06.26,53300.0,1400.0,52800.0,53900.0,52200.0,21575360.0
2020.06.25,51900.0,1000.0,52100.0,53000.0,51900.0,18541624.0
