,국제 백금
2020-08-18,971.10
2020-08-17,963.30
2020-08-14,954.40
2020-08-13,978.10
2020-08-12,954.40
2020-08-11,966.60
2020-08-10,997.50
2020-08-07,965.10
2020-08-06,"1,009.60"
2020-08-05,983.40
2020-08-04,949.10
2020-08-03,924.90
2020-07-31,912.20
2020-07-30,905.90
2020-07-29,951.40
2020-07-28,978.60
2020-07-27,958.60
2020-07-24,947.90
2020-07-23,955.10
2020-07-22,949.30
2020-07-21,911.40
2020-07-20,850.70
2020-07-17,841.90
2020-07-16,828.80
2020-07-15,835.00
2020-07-14,828.20
2020-07-13,854.10
2020-07-10,836.60
2020-07-09,836.60
2020-07-08,874.00
2020-07-07,853.80
2020-07-06,827.80
2020-07-02,822.50
2020-07-01,825.30
2020-06-30,840.70
2020-06-29,816.80
2020-06-26,809.90
2020-06-25,802.70
2020-06-24,805.80
2020-06-23,847.60
2020-06-22,845.30
2020-06-19,828.90
2020-06-18,813.80
2020-06-17,839.80
2020-06-16,845.50
2020-06-15,823.30
2020-06-12,820.60
2020-06-11,826.10
2020-06-10,849.50
2020-06-09,862.30
2020-06-08,860.70
2020-06-05,830.10
2020-06-04,862.80
2020-06-03,857.80
2020-06-02,864.60
2020-06-01,897.00
2020-05-29,870.50
2020-05-28,864.00
2020-05-27,874.00
2020-05-26,869.50
2020-05-22,881.70
2020-05-21,861.90
2020-05-20,929.90
2020-05-19,885.00
2020-05-18,864.70
2020-05-15,812.50
2020-05-14,770.40
2020-05-13,765.20
2020-05-12,772.80
2020-05-11,776.70
2020-05-08,784.70
2020-05-07,777.50
2020-05-06,760.90
2020-05-05,780.10
2020-05-04,774.20
2020-05-01,769.90
2020-04-30,809.50
2020-04-29,795.40
2020-04-28,791.40
2020-04-27,773.50
2020-04-24,773.40
2020-04-23,787.60
2020-04-22,764.90
2020-04-21,758.00
2020-04-20,792.00
2020-04-17,781.30
2020-04-16,789.30
2020-04-15,800.60
2020-04-14,815.70
2020-04-13,745.80
2020-04-09,744.60
2020-04-08,729.60
2020-04-07,741.00
2020-04-06,728.00
2020-04-03,714.10
2020-04-02,726.00
2020-04-01,712.30
2020-03-31,724.40
2020-03-30,723.90
2020-03-27,740.30
2020-03-26,737.10
2020-03-25,745.50
2020-03-24,701.70
2020-03-23,627.50
2020-03-20,621.60
2020-03-19,595.90
2020-03-18,604.10
2020-03-17,664.40
2020-03-16,656.70
2020-03-13,743.00
2020-03-12,780.90
2020-03-11,867.30
2020-03-10,868.50
2020-03-09,861.70
2020-03-06,895.30
2020-03-05,864.60
2020-03-04,874.10
2020-03-03,868.20
2020-03-02,858.30
2020-02-28,862.80
2020-02-27,903.60
2020-02-26,912.60
2020-02-25,929.80
2020-02-24,971.70
2020-02-21,973.40
2020-02-20,976.20
2020-02-19,"1,001.70"
2020-02-18,991.30
2020-02-14,966.00
2020-02-13,971.90
2020-02-12,964.50
2020-02-11,970.90
2020-02-10,964.30
2020-02-07,966.60
2020-02-06,964.70
2020-02-05,984.40
2020-02-04,963.40
2020-02-03,968.00
2020-01-31,959.20
2020-01-30,977.10
2020-01-29,970.90
2020-01-28,990.10
2020-01-27,985.90
2020-01-24,"1,005.20"
2020-01-23,"1,001.70"
2020-01-22,"1,015.80"
2020-01-21,"1,002.00"
2020-01-17,"1,019.40"
2020-01-16,995.70
2020-01-15,"1,020.40"
2020-01-14,982.20
2020-01-13,977.30
2020-01-10,981.20
2020-01-09,967.10
2020-01-08,959.00
2020-01-07,966.00
2020-01-06,960.40
2020-01-03,984.50
2020-01-02,978.60
2019-12-31,971.40
2019-12-30,957.70
2019-12-27,950.40
2019-12-26,952.10
2019-12-24,941.30
2019-12-23,936.70
2019-12-20,912.10
2019-12-19,933.50
2019-12-18,933.70
2019-12-17,927.80
2019-12-16,929.30
2019-12-13,926.70
2019-12-12,942.70
2019-12-11,937.40
2019-12-10,920.50
2019-12-09,896.40
2019-12-06,896.80
2019-12-05,898.50
2019-12-04,899.50
2019-12-03,909.20
2019-12-02,897.30
2019-11-29,897.90
2019-11-27,892.90
2019-11-26,909.00
2019-11-25,897.50
2019-11-22,889.80
2019-11-21,914.70
2019-11-20,917.20
2019-11-19,909.10
2019-11-18,892.20
2019-11-15,891.50
2019-11-14,879.80
2019-11-13,871.50
2019-11-12,866.60
2019-11-11,877.30
2019-11-08,889.40
